Datetime_GMT0,DOY,H,D,Z,F,Hours_in_day,Hours_in_year,Data_source
1964-01-15 02:00:00,15,nan,nan,nan,nan,2,339,WDC
1964-01-15 03:00:00,15,nan,nan,nan,nan,3,340,WDC
1964-01-15 04:00:00,15,nan,nan,nan,nan,4,341,WDC
1964-01-15 05:00:00,15,nan,nan,nan,nan,5,342,WDC
1964-01-15 06:00:00,15,nan,nan,nan,nan,6,343,WDC
1964-01-15 07:00:00,15,nan,nan,nan,nan,7,344,WDC
1964-01-15 08:00:00,15,nan,nan,nan,nan,8,345,WDC
1964-01-15 09:00:00,15,nan,nan,nan,nan,9,346,WDC
1964-01-15 10:00:00,15,nan,nan,nan,nan,10,347,WDC
1964-01-15 11:00:00,15,nan,nan,nan,nan,11,348,WDC
1964-01-15 12:00:00,15,nan,nan,nan,nan,12,349,WDC
1964-01-15 13:00:00,15,nan,nan,nan,nan,13,350,WDC
1964-01-15 14:00:00,15,nan,nan,nan,nan,14,351,WDC
1964-01-15 15:00:00,15,nan,nan,nan,nan,15,352,WDC
1964-01-15 16:00:00,15,nan,nan,nan,nan,16,353,WDC
1964-01-15 17:00:00,15,nan,nan,nan,nan,17,354,WDC
1964-01-15 18:00:00,15,nan,nan,nan,nan,18,355,WDC
1964-01-15 19:00:00,15,nan,nan,nan,nan,19,356,WDC
1964-01-15 20:00:00,15,nan,nan,nan,nan,20,357,WDC
1964-01-15 21:00:00,15,nan,nan,nan,nan,21,358,WDC
1964-01-15 22:00:00,15,nan,nan,nan,nan,22,359,WDC
1964-01-15 23:00:00,15,nan,nan,nan,nan,23,360,WDC
1964-01-16 00:00:00,16,nan,nan,nan,nan,0,361,WDC
1964-01-16 01:00:00,16,nan,nan,nan,nan,1,362,WDC
1964-01-16 02:00:00,16,nan,nan,nan,nan,2,363,WDC
1964-01-16 03:00:00,16,nan,nan,nan,nan,3,364,WDC
1964-01-16 04:00:00,16,nan,nan,nan,nan,4,365,WDC
1964-01-16 05:00:00,16,nan,nan,nan,nan,5,366,WDC
1964-01-16 06:00:00,16,nan,nan,nan,nan,6,367,WDC
1964-01-16 07:00:00,16,nan,nan,nan,nan,7,368,WDC
1964-01-16 08:00:00,16,nan,nan,nan,nan,8,369,WDC
1964-01-16 09:00:00,16,nan,nan,nan,nan,9,370,WDC
1964-01-16 10:00:00,16,nan,nan,nan,nan,10,371,WDC
1964-01-16 11:00:00,16,nan,nan,nan,nan,11,372,WDC
1964-01-16 12:00:00,16,nan,nan,nan,nan,12,373,WDC
1964-01-16 13:00:00,16,nan,nan,nan,nan,13,374,WDC
1964-01-16 14:00:00,16,nan,nan,nan,nan,14,375,WDC
1964-01-16 15:00:00,16,nan,nan,nan,nan,15,376,WDC
1964-01-16 16:00:00,16,nan,nan,nan,nan,16,377,WDC
1964-01-16 17:00:00,16,nan,nan,nan,nan,17,378,WDC
1964-01-16 18:00:00,16,nan,nan,nan,nan,18,379,WDC
1964-01-16 19:00:00,16,nan,nan,nan,nan,19,380,WDC
1964-01-16 20:00:00,16,nan,nan,nan,nan,20,381,WDC
1964-01-16 21:00:00,16,nan,nan,nan,nan,21,382,WDC
1964-01-16 22:00:00,16,nan,nan,nan,nan,22,383,WDC
1964-01-16 23:00:00,16,nan,nan,nan,nan,23,384,WDC
1964-01-17 00:00:00,17,nan,nan,nan,nan,0,385,WDC
1964-01-17 01:00:00,17,nan,nan,nan,nan,1,386,WDC
1964-01-17 02:00:00,17,nan,nan,nan,nan,2,387,WDC
1964-01-17 03:00:00,17,nan,nan,nan,nan,3,388,WDC
1964-01-17 04:00:00,17,nan,nan,nan,nan,4,389,WDC
1964-01-17 05:00:00,17,nan,nan,nan,nan,5,390,WDC
1964-01-17 06:00:00,17,nan,nan,nan,nan,6,391,WDC
1964-01-17 07:00:00,17,nan,nan,nan,nan,7,392,WDC
1964-01-17 08:00:00,17,nan,nan,nan,nan,8,393,WDC
